trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
225,False,"{'a': 0.5, 'e': 0.9952666362171313}",20,0,-100.795438243561,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
226,False,"{'a': 0.5, 'e': 0.9200201319508784}",20,0,-98.37351246494957,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
227,False,"{'a': 0.5, 'e': 0.6195206125592099}",25,8,-39.180667090789484,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.16734084067633054}",20,9,3.032883801978675,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.3258098052199642}",25,8,21.788143065022584,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.7391908477842096}",20,0,-90.71631795900294,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
231,False,"{'a': 0.5, 'e': 0.9715921906288022}",35,16,-53.89607323939189,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
232,False,"{'a': 0.5, 'e': 0.9661138797451976}",20,0,-51.97286956020487,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
233,False,"{'a': 0.5, 'e': 0.7240971967004738}",25,0,-157.35867417417626,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
234,False,"{'a': 0.5, 'e': 0.3047962661308802}",20,11,15.571883713358176,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.1891294205289584}",20,1,19.96066920539275,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.6367496289241701}",25,0,-29.81600625144959,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
237,False,"{'a': 0.5, 'e': 0.9284713207390763}",20,0,-64.59603553297856,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
238,False,"{'a': 0.5, 'e': 0.9928708516677031}",20,0,-164.91761949334793,"{0: 6, 1: 3, 2: 8, 3: 2, 4: 1}",0
239,False,"{'a': 0.5, 'e': 0.8141809705265618}",20,0,-124.30676685735978,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
240,False,"{'a': 0.5, 'e': 0.4361511922464772}",25,0,-14.24071223821294,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",1
241,False,"{'a': 0.5, 'e': 0.04866360920015389}",20,6,24.660025724199826,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.5215638619118831}",30,17,-4.748967539579129,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.8667670910519801}",20,0,-163.14951740187442,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
244,False,"{'a': 0.5, 'e': 0.9997555067434422}",30,0,-219.63779358017703,"{0: 17, 1: 0, 2: 8, 3: 2, 4: 3}",0
245,False,"{'a': 0.5, 'e': 0.8879689066918555}",25,0,-47.76075676815568,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
246,False,"{'a': 0.5, 'e': 0.5587765492838215}",20,0,-23.403819682988804,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
